trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.5, 'e': 0.03752413921111601}",30,18,24.849441375988683,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.03564793225056021}",25,9,22.402516598947756,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.0338655356380322}",20,0,-57.975807961910725,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.032172258856130585}",35,20,21.208338502597066,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.030563645913324056}",25,0,2.41114961190969,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.029035463617657853}",20,0,27.556110613507936,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.027583690436774957}",25,0,36.82783263621607,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.02620450591493621}",25,0,0.06869767370145197,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.0248942806191894}",20,0,8.890448444837658,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.023649566588229927}",25,0,21.509819916532003,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.022467088258818428}",35,13,33.78328242662698,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.021343733845877507}",25,0,-3.206725913108226,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.02027654715358363}",25,13,23.21246409543307,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.019262719795904448}",25,0,-25.29080833459683,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.018299583806109226}",25,15,17.807018196151088,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.017384604615803764}",35,21,26.887911898806443,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.016515374385013576}",20,0,28.253744265187855,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.015689605665762895}",25,0,-26.94104248312651,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.01490512538247475}",25,0,-40.537301579584046,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.014159869113351011}",30,0,42.250115642717184,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.01345187565768346}",20,9,-5.273671880627102,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.012779281874799287}",20,0,-12.973421860638163,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.012140317781059323}",30,0,-87.6813646190915,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 3}",0
87,False,"{'a': 0.5, 'e': 0.011533301892006355}",20,0,9.593628292773452,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.010956636797406038}",25,13,-4.578807670561263,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.010408804957535735}",25,0,12.574478623259468,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.009888364709658948}",20,8,8.618393532303747,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.009393946474176}",20,8,-2.8683507029392796,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
