trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,0,30.44599671226043,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.13999999999999924}",30,18,-21.151088460820592,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.12999999999999923}",25,0,-17.81834451994131,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.11999999999999923}",25,15,18.632487276742946,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.10999999999999924}",20,12,12.09577716322191,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.09999999999999924}",25,7,20.236106675873614,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.08999999999999925}",20,2,-27.31509216680394,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.07999999999999925}",25,12,18.904268440837708,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.06999999999999926}",25,3,37.44819216648054,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.059999999999999255}",25,9,15.162876773320267,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.04999999999999925}",25,8,13.629393050739845,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,12,-10.371317884060048,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,9,17.966888329624634,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,28.64438930757663,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,13,10.866937143630022,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,16,16.55450400402356,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,11,19.376952088139095,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,14,-29.01962427358077,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,12,22.441106196257703,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,3,6.012291189157878,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,21,14.90899067681882,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
