trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
411,True,"{'a': 0, 'e': 0}",20,3,25.94011018014638,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,True,"{'a': 0, 'e': 0}",20,12,15.097703141489292,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,True,"{'a': 0, 'e': 0}",25,0,36.093001578774306,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
414,True,"{'a': 0, 'e': 0}",35,6,-0.6891194606061601,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 1}",1
415,True,"{'a': 0, 'e': 0}",25,0,31.374958739734417,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
416,True,"{'a': 0, 'e': 0}",20,0,-31.103253228530573,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
417,True,"{'a': 0, 'e': 0}",30,19,21.147265644307943,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,True,"{'a': 0, 'e': 0}",25,0,34.77012577287525,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
419,True,"{'a': 0, 'e': 0}",25,8,27.1070361217329,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,True,"{'a': 0, 'e': 0}",25,0,37.69031359770939,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,True,"{'a': 0, 'e': 0}",25,0,37.32601895197858,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
422,True,"{'a': 0, 'e': 0}",25,0,34.71013252368313,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
423,True,"{'a': 0, 'e': 0}",25,1,35.88462467945413,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,True,"{'a': 0, 'e': 0}",25,0,34.458415192400054,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
425,True,"{'a': 0, 'e': 0}",30,8,35.030698058506516,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,True,"{'a': 0, 'e': 0}",20,2,-3.4204079527594335,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
427,True,"{'a': 0, 'e': 0}",25,0,33.90716513877923,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
428,True,"{'a': 0, 'e': 0}",20,15,8.775988537272818,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,True,"{'a': 0, 'e': 0}",25,13,17.73575123200068,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,True,"{'a': 0, 'e': 0}",20,2,26.750801526733785,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,True,"{'a': 0, 'e': 0}",30,22,14.786570977224885,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,True,"{'a': 0, 'e': 0}",20,0,29.10731413807761,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
433,True,"{'a': 0, 'e': 0}",20,0,27.16774135060117,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
434,True,"{'a': 0, 'e': 0}",25,15,17.899877957089036,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,True,"{'a': 0, 'e': 0}",20,0,25.75328702248204,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
436,True,"{'a': 0, 'e': 0}",25,15,18.535352546462487,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,True,"{'a': 0, 'e': 0}",20,0,25.35646442679312,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
438,True,"{'a': 0, 'e': 0}",25,10,23.855351657366565,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,True,"{'a': 0, 'e': 0}",35,9,40.207635173318366,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,True,"{'a': 0, 'e': 0}",20,0,19.626927228330935,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
441,True,"{'a': 0, 'e': 0}",25,17,16.62614098268189,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,True,"{'a': 0, 'e': 0}",20,0,23.26699543664609,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
443,True,"{'a': 0, 'e': 0}",25,5,28.13780837389406,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,True,"{'a': 0, 'e': 0}",20,0,4.899223276270764,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
445,True,"{'a': 0, 'e': 0}",20,5,21.35469317474363,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,True,"{'a': 0, 'e': 0}",20,13,12.052196079933694,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,True,"{'a': 0, 'e': 0}",20,0,29.329706276242415,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
448,True,"{'a': 0, 'e': 0}",20,7,21.796315563186592,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,True,"{'a': 0, 'e': 0}",30,0,46.49749765181165,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
450,True,"{'a': 0, 'e': 0}",25,0,39.96629310680179,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
451,True,"{'a': 0, 'e': 0}",35,14,-5.200167010234273,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
452,True,"{'a': 0, 'e': 0}",20,16,7.050951977084556,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,True,"{'a': 0, 'e': 0}",20,4,1.5317876339197132,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
454,True,"{'a': 0, 'e': 0}",20,7,20.170271499503578,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,True,"{'a': 0, 'e': 0}",25,5,27.300866195875386,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,True,"{'a': 0, 'e': 0}",25,12,19.925534709714235,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,True,"{'a': 0, 'e': 0}",20,0,32.486949751017534,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
458,True,"{'a': 0, 'e': 0}",20,0,14.360331132961154,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
459,True,"{'a': 0, 'e': 0}",20,12,15.013285192261355,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,True,"{'a': 0, 'e': 0}",20,5,25.837541672805653,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,True,"{'a': 0, 'e': 0}",20,2,24.246038870436593,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,True,"{'a': 0, 'e': 0}",30,0,39.62352320766368,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
463,True,"{'a': 0, 'e': 0}",25,1,41.58752478849593,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,True,"{'a': 0, 'e': 0}",20,0,-13.411673412647039,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
465,True,"{'a': 0, 'e': 0}",25,0,34.962662218092824,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
466,True,"{'a': 0, 'e': 0}",20,12,12.273808791612465,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,True,"{'a': 0, 'e': 0}",25,1,28.96861884731428,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,True,"{'a': 0, 'e': 0}",20,6,20.822857912771713,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,True,"{'a': 0, 'e': 0}",25,8,7.572378199834337,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
470,True,"{'a': 0, 'e': 0}",25,2,18.808399555491125,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
471,True,"{'a': 0, 'e': 0}",25,10,28.163167713915094,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,True,"{'a': 0, 'e': 0}",20,0,24.8644605328363,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
473,True,"{'a': 0, 'e': 0}",20,13,11.803094327370733,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,True,"{'a': 0, 'e': 0}",30,19,18.71187835226139,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,True,"{'a': 0, 'e': 0}",20,0,25.769141936383043,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
476,True,"{'a': 0, 'e': 0}",20,0,28.25857994592821,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
477,True,"{'a': 0, 'e': 0}",25,0,36.013981504572975,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
478,True,"{'a': 0, 'e': 0}",25,17,14.40770259165731,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,True,"{'a': 0, 'e': 0}",20,8,20.06553689143473,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,True,"{'a': 0, 'e': 0}",20,12,7.074154369052538,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
481,True,"{'a': 0, 'e': 0}",20,0,29.36088368648823,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
482,True,"{'a': 0, 'e': 0}",20,1,-22.041000221097796,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
483,True,"{'a': 0, 'e': 0}",25,9,26.16781147411366,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,True,"{'a': 0, 'e': 0}",30,18,17.314371465249774,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,True,"{'a': 0, 'e': 0}",20,10,16.711038967840786,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,True,"{'a': 0, 'e': 0}",20,1,-17.455358584211467,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
